id,first_name,last_name,position
2917,Duane,Causwell,
2918,Eric,Leckner,
2919,Lionel,Simmons,
2920,Ralph,Sampson,
2921,Rory,Sparrow,
2922,Steve,Colter,
2923,Wayman,Tisdale,
2924,B.J.,Armstrong,
2925,Bill,Cartwright,
2926,Cliff,Levingston,
2927,Craig,Hodges,
2928,Dennis,Hopson,
2929,Horace,Grant,
2930,John,Paxson,
2931,Michael,Jordan,
2932,Scott,Williams,
2933,Scottie,Pippen,
2934,Stacey,King,
2935,Will,Perdue,
2936,Brian,Oliver,
2937,Charles,Barkley,
2938,Hersey,Hawkins,
2939,Jayson,Williams,
2940,Johnny,Dawkins,
2941,Manute,Bol,
2942,Mike,Gminski,
2943,Rick,Mahorn,
2944,Rickey,Green,
2945,Ron,Anderson,
2946,Armen,Gilliam,
2947,Dave,Hoppen,
2948,Dell,Curry,
2949,J.R.,Reid,
2950,Johnny,Newman,
2951,Kelly,Tripucka,
2952,Kendall,Gill,
2953,Kenny,Gattison,
2954,Muggsy,Bogues,
2955,Rex,Chapman,
2956,Brian,Quinnett,
2957,Charles,Oakley,
2958,Eddielee,Wilkins,
2959,Gerald,Wilkins,
2960,Jerrod,Mustaf,
2961,Kiki,Vandeweghe,
2962,Mark,Jackson,
2963,Maurice,Cheeks,
2964,Patrick,Ewing,
2965,Mark,Bryant,
2966,Dana,Barros,
2967,Derrick,McKey,
2968,Gary,Payton,
2969,Michael,Cage,
2970,Olden,Polynice,
2971,Quintin,Dailey,
2972,Sedale,Threatt,
2973,Shawn,Kemp,
2974,Xavier,McDaniel,
2975,Tree,Rollins,
2976,Pervis,Ellison,
2977,Stuart,Gray,
2978,Trent,Tucker,
2979,Frank,Kornet,
2980,David,Greenwood,
2981,David,Robinson,
2982,Paul,Pressey,
2983,Reggie,Williams,
2984,Sean,Elliott,
2985,Sean,Higgins,
2986,Sidney,Green,
2987,Terry,Cummings,
2988,Tony,Massenburg,
2989,A.C.,Green,
2990,Byron,Scott,
2991,Elden,Campbell,
2992,James,Worthy,
2993,Larry,Drew,
2994,Magic,Johnson,
2995,Mychal,Thompson,
2996,Sam,Perkins,
2997,Terry,Teagle,
2998,Vlade,Divac,
2999,John,Shasky,
3000,Randy,White,
3001,Steve,Alford,
3002,Greg,Butler,
3003,Steve,Scheffler,
3004,Les,Jepsen,
3005,Mike,Smrek,
3006,Danny,Manning,
3007,Mark,McNamara,
3008,Steve,Kerr,
3009,Kennard,Winchester,
3010,Rick,Calloway,
3011,Travis,Mays,
3012,Trevor,Wilson,
3013,Tony,Brown,
3014,Randolph,Keys,
3015,Benoit,Benjamin,
3016,Byron,Dinkins,
3017,Dwayne,Schintzius,
3018,Kenny,Payne,
3019,Greg,Grant,
3020,Tony,Smith,
3021,Nate,McMillan,
3022,Rod,Strickland,
3023,Mahmoud,Abdul-Rauf,
3024,Scott,Meents,
3025,Jim,Petersen,
3026,Bob,Thornton,
3027,Drazen,Petrovic,
3028,Kurt,Rambis,
3029,Jon,Koncak,
3030,Stojko,Vrankovic,
3031,Cedric,Ball,
3032,Andrew,Lang,
3033,Bart,Kofoed,
3034,Jim,Farmer,
3035,Dave,Corzine,
3036,Buck,Johnson,
3037,Milos,Babic,
3038,Negele,Knight,
3039,Willie,Anderson,
3040,Andre,Turner,
3041,Ledell,Eackles,
3042,Jim,Grandholm,
3043,Kelvin,Upshaw,
3044,Leon,Wood,
3045,Terry,Mills,
3046,Darnell,Valentine,
3047,Morlon,Wiley,
3048,Irving,Thomas,
3049,John,Starks,
3050,Pete,Myers,
3051,Keith,Askins,
3052,Anthony,Bonner,
3053,Dale,Ellis,
3054,Pat,Cummings,
3055,Kenny,Walker,
3056,Mario,Elie,
3057,Anthony,Mason,
3058,Tim,Legler,
3059,Dan,O'Sullivan,
3060,Dan,Godfread,
3061,Henry,James,
3062,Jim,Les,
3063,Paul,Mokeski,
3064,Earl,Cureton,
3065,Anthony,Frederick,
3066,Jawann,Oldham,
3067,Jeff,Sanders,
3068,Scott,Haffner,
3069,John,Long,
3070,Ron,Harper,
3071,Tony,Harris,
3072,Clifford,Lett,
3073,Clinton,Smith,
3074,John,Williams,
3075,Craig,Neal,
3076,Mike,Higgins,
3077,Joe,"Barry,Carroll",
3078,Gerald,Henderson,
3079,Everette,Stephens,
3080,Charles,Smith,
3081,David,Wingate,
3082,Tony,Dawson,
3083,Gary,Leonard,
3084,A.J.,Wynder,
3085,Adrian,Dantley,
3086,Derek,Smith,
3087,Vincent,Askew,
3088,Robert,Reid,
3089,Gary,Trent Jr.,
3090,Jaron,Blossomgame,
3091,Brandon,Goodwin,
3092,Haywood,Highsmith,
3450,Deng,Adel,
3943,Julian,Washburn,
5117,Mitchell,Creek,
5279,Emanuel,Terry,
5471,Brandon,Sampson,
45947,Donte,Grantham,
50191,Bonzie,Colson,F
50609,Dairis,Bertans,G
50661,Chris,Chiozza,G
50729,Michael,Frazier,G
50737,Billy,Garrett,G-F
50793,Isaac,Humphries,C
50815,BJ,Johnson,F
50823,Jemerrio,Jones,F
50927,Kendrick,Nunn,G
50947,Tarik,Phillip,G
50966,Cameron,Reynolds,G
666393,Jalen,Adams,G
666400,Nickeil,Alexander-Walker,G
666401,Kyle,Alexander,F
666423,RJ,Barrett,F-G
666429,Darius,Bazley,F
666438,Javon,Bess,G
666440,Kavell,Bigby-Williams,C
666442,Goga,Bitadze,C
666446,Keljin,Blevins,F
666451,Bol,Bol,C
666453,Marques,Bolden,C
666454,Jordan,Bone,G
666457,Phil,Booth,G
666459,Brian,Bowen II,F
666460,Ky,Bowman,G
666463,Jarrell,Brantley,F
666464,Ignas,Brazdeikis,F
666467,Amida,Brimah,C
666468,Oshae,Brissett,F
666474,Charles,Brown,G
666476,Moses,Brown,C
666486,Devontae,Cacok,F-C
666488,Perrion,Callandret,G
666489,Vlatko,Cancar,F
666502,Zylan,Cheatham,F
666505,Brandon,Clarke,F
666508,Nicolas,Claxton,F-C
666509,Chris,Clemons,G
666511,Amir,Coffey,G
666517,Tyler,Cook,C
666523,Jarrett,Culver,G
666529,Jon,Davis,G
666530,Terence,Davis,G
666541,Luguentz,Dort,G
666543,Sekou,Doumbouya,F
666551,Carsen,Edwards,G
666552,John,Egbunu,C
666560,Tacko,Fall,C
666564,Bruno,Fernando,F
666570,Robert,Franks,F
666576,Abdul,Gaddy,G
666577,Daniel,Gafford,F
666580,JaKeenan,Gant,F
666581,Darius,Garland,G
666584,Kaiser,Gates,F
666598,Hassani,Gravett,G
666604,Javonte,Green,G-F
666607,Marko,Guduric,G
666608,Kyle,Guy,G
666609,Rui,Hachimura,F
666610,Devon,Hall,G
666611,Donta,Hall,F
666616,Jared,Harper,G
666626,Jaxson,Hayes,C
666630,Dewan,Hernandez,C
666633,Tyler,Herro,G
666637,Ahmed,Hill,G
666640,Amir,Hinton,G
666641,Jaylen,Hoard,F
666647,Daulton,Hommes,F
666650,Talen,Horton-Tucker,G
666653,William,Howard,G-F
666656,De'Andre,Hunter,F
666672,Justin,James,G-F
